Language_ID	Language_Name	Planar_ID	Planar_Type	Position_ID	Position	Position_Type	Elements
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_1	1	slot	Subordinators
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_2	2	slot	Np (A/S, O), Adv
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_3	3	slot	Focus Marker (=Ēn)
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_4	4	slot	Adv Á= ‘Already’
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_5	5	slot	Clausal Negator: Kēd=
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_6	6	slot	Adverbial Enclitics Of Frequency And Manner: =Pkā, =Kā, =Zī
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_7	7	slot	Adverbial Enclitic Of Equality: =Zá
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_8	8	slot	Adverbial Enclitic Of Comparison: =Rú
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_9	9	slot	Indefinite, Interrogative Pronouns Tū=, Xī=, Kalī=; Plural Imperative Gūl=
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_10	10	slot	Tense/Aspect/Mood
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_11	11	slot	Motion: Andative E-, Venitive Ēd-
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_12	12	slot	Verb Base
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_13	13	slot	Second Element In A Compound: Nominal, Adjectival Root
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_14	14	slot	Comitative -Næ:
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_15	15	slot	Diminutive: -Æˀny/-Iˀny
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_16	16	slot	Manner Adverbs: Ʒlyāˀ ‘In Vain’, ʤí: ‘Quietly’
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_17	17	slot	Intensifiers Tæ̰:, Da̰:n
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_18	18	slot	Negation: =Di
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_19	19	slot	Adverbial Enclitics Of Frequency And Manner: =Pkā, =Kā, =Zī
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_20	20	slot	Adverbial Enclitic Of Equality: =Zá
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_21	21	slot	Adverbial Enclitic Of Comparison: =Rú
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_22	22	slot	Reciprocal Saˀ
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_23	23	slot	Pronominal Enclitic; Np (A/S)
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_24	24	slot	Pronominal Enclitic; Np (P)
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_25	25	slot	Pronominal Enclitic; Np (R)
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_26	26	slot	Adverb (Lexical)
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_27	27	slot	Subordinate Clause
teot1238	Teotitlán del Valle Zapotec	teot1238_verbal	verbal	teot1238_v_28	28	slot	Discursive Enclitics
